# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std 
  20066         0.457   0.457   0.457   8.475   8.475   8.475   9.282   9.282   9.282 0.607   0.607   0.607 0.617   0.617   0.617 0.2225 0.00524004770971 
  2013         1.337   2.307   3.457   8.825   8.975   9.175   9.827   9.892   9.917 0.592   0.712   0.767 0.592   0.722   0.767 0.6575 0.016705067345 
  20168         0.872   1.502   4.482   8.375   8.525   8.625   9.917   10.020   10.040 1.247   1.287   1.352 1.252   1.297   1.372 0.675 0.0141672959664 
  20261         0.527   0.717   1.482   8.975   9.025   9.075   9.602   9.657   9.677 0.347   0.407   0.502 0.357   0.417   0.502 0.3725 0.00877641584019 
  20344         1.137   1.137   2.467   8.625   8.725   8.725   9.677   9.692   9.702 0.802   0.822   0.907 0.807   0.827   0.907 0.3825 0.0103467519058 
  2046         0.427   0.827   0.847   8.675   8.675   8.975   9.912   9.932   9.982 0.592   0.702   0.737 0.597   0.707   0.747 0.725 0.0162964075796 
  20539         1.767   3.322   3.387   8.475   8.525   8.525   9.422   9.437   9.457 0.293   0.682   0.742 0.702   0.902   1.042 0.76 0.0139910185476 
  20627         0.592   1.477   5.667   8.575   8.775   8.825   9.512   9.532   9.557 0.537   0.617   0.772 0.542   0.632   0.777 0.4775 0.0116300591142 
  20639         1.917   2.597   3.242   8.975   9.175   9.275   10.560   10.610   10.690 1.087   1.087   1.237 1.092   1.097   1.252 1.125 0.0245668531766 
  20663         0.512   0.512   1.127   8.575   8.575   8.575   9.052   9.107   9.112 0.312   0.322   0.337 0.322   0.332   0.342 0.305 0.00678567609012 
  2068         1.142   1.142   1.142   8.575   8.575   8.575   8.782   8.787   8.787 0.023   0.018   0.018 0.013   0.008   0.008 0.19 0.00541561630842 
  20860         0.417   0.512   2.232   8.525   8.625   9.025   8.912   8.977   9.112 0.043   0.202   0.247 0.043   0.207   0.247 0.185 0.00464791351038 
  2096         1.892   2.737   4.252   8.675   8.825   9.125   9.417   9.487   9.557 0.197   0.467   0.507 0.202   0.482   0.517 1.2925 0.0278006942359 
  21         1.327   1.382   1.692   9.175   9.225   9.375   9.827   9.852   9.982 0.097   0.382   0.412 0.102   0.382   0.417 0.6825 0.0150431537584 
  2100         0.517   0.597   1.927   8.525   8.675   8.775   9.092   9.167   9.217 0.222   0.337   0.397 0.227   0.342   0.402 0.3 0.00724371969364 
  2102         0.172   1.752   1.752   8.625   8.625   8.925   9.222   9.237   9.352 0.037   0.412   0.427 0.047   0.417   0.432 0.2975 0.00865010260055 
  21038         1.692   1.802   2.427   8.825   9.025   9.025   10.330   10.420   10.450 1.032   1.052   1.227 1.042   1.062   1.247 1.5375 0.0311153703979 
  21174         1.527   3.252   3.252   8.975   8.975   9.175   9.477   9.497   9.582 0.097   0.287   0.302 0.102   0.292   0.307 0.55875 0.0149653733665 
  21201         1.407   1.407   1.457   9.175   9.175   9.275   9.207   9.217   9.232 0.353   0.213   0.078 0.348   0.208   0.078 0.2475 0.00705116302464 
  21226         1.137   1.307   1.402   8.775   8.775   8.925   9.392   9.447   9.462 0.367   0.412   0.432 0.407   0.422   0.437 0.8425 0.0179762509996 
  21315         1.347   1.347   1.347   8.125   8.125   8.125   8.747   8.752   8.762 0.417   0.427   0.437 0.427   0.437   0.447 0.4225 0.0104738376443 
  21329         4.842   4.842   4.842   8.775   8.775   8.775   9.812   9.827   9.837 0.802   0.817   0.827 0.812   0.827   0.837 1.42 0.0307018957069 
  21379         0.172   0.172   0.172   8.275   8.275   8.275   9.452   9.462   9.472 0.952   0.962   0.972 0.967   0.977   0.987 0.1075 0.00298403669548 
  2149         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998 0.405 0.0133434806179 
  21708         3.522   3.522   3.522   8.775   8.775   8.775   10.480   10.490   10.490 0.957   0.962   0.962 0.962   0.967   0.967 1.93 0.0367779890016 
  21772         4.527   4.527   4.527   8.875   8.875   8.875   11.020   11.030   11.030 1.262   1.272   1.272 1.272   1.282   1.282 3.38 0.0627448205034 
  21894         1.967   1.967   1.967   9.425   9.425   9.425   10.130   10.140   10.140 1.173   1.163   1.158 1.163   1.153   1.148 0.2725 0.00522774090789 
  21926         3.817   3.817   3.817   9.475   9.475   9.475   11.400   11.410   11.410 0.502   0.507   0.507 0.522   0.527   0.527 1.955 0.036148671829 
  21963         0.842   1.352   1.377   8.575   8.575   8.875   9.207   9.252   9.332 0.262   0.467   0.487 0.267   0.472   0.492 0.34 0.0110084058791 
  21971         0.762   0.762   0.762   8.975   8.975   8.975   9.072   9.077   9.082 0.943   0.938   0.933 0.933   0.928   0.923 0.03 0.00148710288817 
  22002         1.607   1.607   1.607   9.275   9.275   9.275   11.230   11.240   11.240 0.177   0.182   0.182 0.192   0.197   0.197 1.12 0.0207934959783 
  22059         2.967   2.967   3.097   9.275   9.275   9.275   10.790   10.800   10.820 0.537   0.547   0.557 0.537   0.547   0.557 1.855 0.034924047589 
  22173         0.447   3.757   3.757   9.375   9.375   9.475   10.150   10.230   10.270 0.237   1.327   1.387 0.242   0.947   1.007 1.0925 0.0311281126958 
  22279         2.817   2.817   3.397   8.725   8.725   9.375   10.450   10.460   10.640 0.177   1.092   1.107 0.187   1.097   1.112 1.445 0.0287175778052 
  2228         2.117   2.877   4.022   8.975   9.125   9.275   10.490   10.510   10.610 1.032   1.047   1.172 1.047   1.172   1.187 1.605 0.0346378463534 
