# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  25211         0.332   0.332   0.332   9.157   9.162   9.162   0.017   0.022   0.022
  25246         0.332   0.332   1.087   10.430   10.440   10.610   0.597   0.602   0.767
  25248         0.867   0.867   1.007   9.237   9.242   9.252   0.287   0.297   0.482
  25250         3.562   3.562   3.562   11.010   11.010   11.010   0.393   0.393   0.393
  25270         0.807   1.487   2.067   9.577   9.602   9.672   0.347   0.597   0.712
  25295         2.707   3.517   3.562   10.860   10.910   11.030   1.697   1.717   2.087
  25341         0.242   2.472   2.472   9.032   9.047   9.167   0.023   0.367   0.382
  25373         1.032   1.222   1.852   9.437   9.487   9.537   0.572   0.682   0.852
  25389         0.247   0.247   0.247   8.747   8.752   8.757   0.308   0.303   0.298
  25406         1.277   1.277   1.277   9.447   9.457   9.462   0.308   0.298   0.293
  25465         2.362   2.362   2.362   11.090   11.100   11.100   0.452   0.467   0.467
  25489         4.522   4.522   4.522   10.940   10.950   10.960   0.237   0.247   0.252
  25565         1.602   1.602   1.602   8.737   8.752   8.767   1.768   1.753   1.738
  25573         1.327   2.542   4.252   10.870   10.890   10.930   0.732   0.802   0.832
  25681         0.927   0.927   0.927   9.657   9.667   9.677   1.093   1.083   1.073
  25794         0.927   2.482   3.062   9.757   9.832   9.857   0.182   0.432   0.522
  2583         0.687   0.687   2.292   9.642   9.797   9.817   0.732   0.927   0.947
  26039         3.802   3.802   4.902   9.292   9.302   9.312   0.388   0.022   0.037
  26092         1.292   2.477   4.082   10.270   10.320   10.390   0.987   1.052   1.507
  26173         2.307   2.307   2.307   10.210   10.220   10.220   0.128   0.123   0.108
  26185         1.917   2.587   4.272   10.180   10.230   10.360   0.647   1.022   1.267
  26255         0.642   0.642   0.827   9.767   9.807   9.827   0.937   0.952   1.092
  26300         2.007   3.027   4.672   10.190   10.360   10.470   0.193   0.382   1.027
  26345         0.482   1.192   2.387   9.432   9.442   9.572   0.557   0.862   0.872
  26397         0.527   0.527   0.527   9.202   9.202   9.202   0.198   0.198   0.198
  26398         1.577   2.122   2.722   10.090   10.130   10.190   1.052   1.177   1.347
  26476         1.617   1.617   2.272   9.367   9.372   9.422   0.772   0.777   0.787
  26491         0.382   0.382   0.382   8.942   8.942   8.942   0.372   0.372   0.372
  26535         1.327   1.327   1.327   10.910   10.910   10.910   0.093   0.088   0.088
  26600         1.557   1.557   1.557   9.007   9.012   9.017   0.257   0.262   0.267
  26605         0.352   0.352   0.352   8.957   8.962   8.972   0.022   0.027   0.037
  26618         1.712   3.302   4.867   9.582   9.627   9.812   0.833   0.358   0.113
  26647         0.862   1.457   1.787   9.367   9.422   9.447   0.367   0.492   0.542
  267         2.932   2.932   3.172   10.160   10.160   10.330   1.367   1.392   1.402
  26722         3.092   4.487   4.487   10.350   10.350   10.370   0.792   0.792   0.802
  26755         2.422   2.997   4.427   11.130   11.150   11.190   1.617   1.847   1.907
  2697         0.972   1.147   3.882   9.962   9.987   10.030   0.717   0.832   1.057
  274         0.762   0.972   3.567   9.937   10.030   10.090   0.727   0.852   0.917
  2784         0.397   0.482   0.482   9.392   9.407   9.412   0.437   0.442   0.482
  2793         2.427   3.322   3.702   10.560   10.620   10.730   0.722   0.842   1.072
  2862         1.427   1.427   1.427   10.670   10.680   10.690   0.293   0.288   0.278
  2903         1.687   2.177   2.177   9.557   9.572   9.597   0.192   0.207   0.342
  2921         2.322   2.707   3.747   10.200   10.220   10.270   1.052   1.097   1.167
  2976         0.977   0.977   0.977   9.792   9.822   9.837   0.887   0.917   0.932
  300         1.147   1.587   2.687   10.000   10.110   10.170   0.502   0.722   0.852
  3315         0.707   0.707   0.707   8.977   8.987   8.997   0.412   0.422   0.432
  3336         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  3371         1.762   1.762   1.762   10.210   10.210   10.220   0.222   0.222   0.232
  3404         1.042   1.172   3.192   10.030   10.090   10.340   0.932   0.997   1.022
  3412         1.917   1.917   1.917   9.037   9.037   9.037   0.173   0.173   0.173
  3432         0.797   2.592   2.912   8.892   8.937   8.972   0.077   0.562   0.587
  344         1.712   1.712   3.362   9.212   9.217   9.222   0.577   0.627   0.632
  3451         0.242   1.942   1.942   8.787   8.812   8.882   0.013   0.302   0.332
  3458         0.182   3.167   3.167   9.377   9.517   9.547   0.347   0.942   0.967
  3591         0.907   1.702   3.982   9.042   9.192   9.447   0.327   0.557   0.592
  3631         0.337   1.057   1.362   9.142   9.192   9.312   0.402   0.767   0.842
  3647         3.547   3.547   3.547   11.130   11.140   11.150   0.082   0.092   0.102
  3653         0.322   0.322   0.322   9.177   9.192   9.202   0.297   0.302   0.322
  3683         0.852   1.797   3.677   10.230   10.290   10.350   0.552   1.017   1.162
  3707         0.512   0.512   0.512   9.267   9.267   9.272   0.347   0.347   0.352
  3767         2.117   2.117   2.117   10.610   10.610   10.620   0.908   0.903   0.898
  3811         0.342   0.342   1.457   8.807   8.837   8.857   0.168   0.138   0.387
  3871         0.352   0.352   0.467   8.867   8.917   8.922   0.292   0.297   0.302
  40         0.727   0.837   1.262   10.180   10.240   10.290   0.907   1.137   1.247
  4056         1.007   1.007   1.007   8.732   8.742   8.747   0.592   0.602   0.607
  4062         3.097   3.097   3.097   10.700   10.710   10.710   0.368   0.363   0.358
  407         1.387   1.387   1.387   9.412   9.427   9.427   1.618   1.603   1.603
  4171         1.687   2.717   4.197   10.710   10.790   10.800   1.107   1.162   1.387
  4187         0.812   1.347   1.347   9.642   9.652   9.777   1.032   1.047   1.147
  4216         1.647   2.057   2.412   11.090   11.130   11.320   1.582   1.732   1.952
  4348         2.642   3.277   3.957   10.500   10.550   10.620   1.112   1.312   1.552
  4376         2.592   2.602   2.852   10.970   10.980   11.020   1.652   1.662   1.837
  4459         4.222   4.222   4.222   10.180   10.190   10.190   0.738   0.733   0.728
  4529         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  4589         0.322   0.322   0.342   9.147   9.207   9.217   0.107   0.117   0.142
  4608         2.922   2.922   2.922   11.030   11.040   11.050   0.957   0.967   0.972
  4644         2.147   2.212   3.192   9.722   9.837   9.852   0.177   0.372   0.487
  482         2.982   3.272   3.812   10.560   10.630   10.660   0.307   1.087   1.157
  499         3.247   3.247   3.247   10.270   10.270   10.280   0.753   0.748   0.738
  5012         0.947   2.192   2.192   9.592   9.717   9.742   0.972   1.217   1.247
  5068         4.937   4.937   4.937   10.020   10.020   10.020   0.268   0.268   0.268
  513         1.532   2.237   2.632   9.977   10.030   10.160   0.243   0.707   1.182
  5219         1.337   4.347   4.347   9.582   9.587   9.597   0.532   0.542   0.547
  528         3.352   3.352   4.012   11.150   11.170   11.250   0.882   0.897   1.102
  533         0.702   1.712   1.712   8.912   8.927   9.042   0.277   0.712   0.717
  5568         0.982   1.082   3.152   9.362   9.387   9.457   0.072   0.187   0.287
  570         0.892   1.567   2.627   8.762   8.827   8.842   0.532   0.637   0.742
  5789         0.107   0.107   0.107   9.317   9.322   9.327   0.583   0.578   0.573
  58         0.822   0.822   0.822   10.020   10.030   10.040   1.052   1.072   1.087
  5845         0.242   0.242   0.242   9.102   9.127   9.142   0.168   0.143   0.128
  5950         4.297   4.297   4.297   10.470   10.470   10.470   0.323   0.323   0.323
  601         0.212   0.252   0.512   9.172   9.217   9.302   0.252   0.287   0.512
  6141         1.022   1.247   3.802   9.527   9.557   9.577   0.957   0.967   0.977
  6159         0.702   1.412   2.212   9.437   9.477   9.557   0.717   1.072   1.087
  6221         2.347   2.667   3.697   10.960   11.040   11.090   1.717   1.752   2.062
  6401         1.607   1.607   1.607   10.600   10.610   10.610   0.438   0.433   0.433
  6665         3.267   3.267   3.267   9.172   9.172   9.187   1.042   1.042   1.057
  7011         2.487   2.487   2.487   9.922   9.932   9.942   0.017   0.027   0.037
  7094         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  7183         2.542   2.657   3.382   10.920   11.030   11.060   1.792   1.937   2.017
  7195         2.877   3.327   3.677   10.850   10.950   11.010   1.587   1.657   1.912
  7219         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  744         0.647   1.167   2.072   9.947   9.977   10.040   0.737   0.892   1.092
